Timestamp (h:m:s.ms.us.ns dur),Status,Address(7b),RW,Data,ASCII,Error,Information,
,,,,,,,*** Capture Started
13:28:12.513.517.280 0 (Oct-20-2023),Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.514.631.840 001.114ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.515.023.240 391.400us,Start,58*,Wr,99* ,.,, 
13:28:12.515.224.580 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.516.715.160 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.516.916.500 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.518.773.500 001.857ms,Start,58*,Wr,9B* ,.,, 
13:28:12.518.974.840 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.519.549.400 574.560us,Start,58*,Wr,9C* ,.,, 
13:28:12.519.750.740 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.521.607.780 001.857ms,Start,58*,Wr,9D* ,.,, 
13:28:12.521.809.120 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.522.564.400 755.280us,Start,58*,Wr,9E* ,.,, 
13:28:12.522.765.740 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.524.538.060 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.525.655.440 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.526.046.700 391.260us,Start,58*,Wr,99* ,.,, 
13:28:12.526.248.040 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.527.738.700 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.527.940.060 201.360us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.529.797.000 001.856ms,Start,58*,Wr,9B* ,.,, 
13:28:12.529.998.340 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.530.572.940 574.600us,Start,58*,Wr,9C* ,.,, 
13:28:12.530.774.280 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.532.631.280 001.857ms,Start,58*,Wr,9D* ,.,, 
13:28:12.532.834.320 203.040us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.533.592.060 757.740us,Start,58*,Wr,9E* ,.,, 
13:28:12.533.793.400 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.535.565.800 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.536.683.180 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.537.074.600 391.420us,Start,58*,Wr,99* ,.,, 
13:28:12.537.275.940 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.538.766.580 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.538.967.920 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.540.824.940 001.857ms,Start,58*,Wr,9B* ,.,, 
13:28:12.541.026.280 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.541.600.760 574.480us,Start,58*,Wr,9C* ,.,, 
13:28:12.541.802.100 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.543.659.060 001.856ms,Start,58*,Wr,9D* ,.,, 
13:28:12.543.860.400 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.544.618.240 757.840us,Start,58*,Wr,9E* ,.,, 
13:28:12.544.819.580 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.546.592.000 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.547.709.360 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.548.100.700 391.340us,Start,58*,Wr,99* ,.,, 
13:28:12.548.302.060 201.360us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.549.792.640 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.549.993.980 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.551.851.000 001.857ms,Start,58*,Wr,9B* ,.,, 
